File 	Organ 	 Value
Tyw5 	CpGs 	12
Tyw5 	heart 	28
Tyw5 	HeLa 	29
Tyw5 	lung 	28
Tyw5 	ovary 	30
Tyw5 	prostat 	29
Tyw5 	skin_leg 	29
Tyw5 	sophogus 	30
Tyw5 	spleen 	29
Tyw5 	stomach 	29
Tyw5 	testis 	28
Tyw5 	tibial_nerv 	30
Osgin2 	CpGs 	30
Osgin2 	heart 	55
Osgin2 	HeLa 	54
Osgin2 	lung 	54
Osgin2 	ovary 	54
Osgin2 	prostat 	54
Osgin2 	skin_leg 	54
Osgin2 	sophogus 	54
Osgin2 	spleen 	54
Osgin2 	stomach 	54
Osgin2 	testis 	54
Osgin2 	tibial_nerv 	54
Dnajc2 	CpGs 	25
Dnajc2 	heart 	56
Dnajc2 	HeLa 	59
Dnajc2 	lung 	54
Dnajc2 	ovary 	57
Dnajc2 	prostat 	58
Dnajc2 	skin_leg 	56
Dnajc2 	sophogus 	57
Dnajc2 	spleen 	57
Dnajc2 	stomach 	57
Dnajc2 	testis 	57
Dnajc2 	tibial_nerv 	56
Ift56 	CpGs 	19
Ift56 	heart 	38
Ift56 	HeLa 	38
Ift56 	lung 	38
Ift56 	ovary 	38
Ift56 	prostat 	38
Ift56 	skin_leg 	38
Ift56 	sophogus 	38
Ift56 	spleen 	38
Ift56 	stomach 	38
Ift56 	testis 	38
Ift56 	tibial_nerv 	38
Ccng1 	CpGs 	5
Ccng1 	heart 	15
Ccng1 	HeLa 	16
Ccng1 	lung 	14
Ccng1 	ovary 	13
Ccng1 	prostat 	15
Ccng1 	skin_leg 	15
Ccng1 	sophogus 	14
Ccng1 	spleen 	13
Ccng1 	stomach 	12
Ccng1 	testis 	14
Ccng1 	tibial_nerv 	12
Sub1 	CpGs 	4
Sub1 	heart 	8
Sub1 	HeLa 	8
Sub1 	lung 	8
Sub1 	ovary 	8
Sub1 	prostat 	8
Sub1 	skin_leg 	8
Sub1 	sophogus 	8
Sub1 	spleen 	8
Sub1 	stomach 	8
Sub1 	testis 	8
Sub1 	tibial_nerv 	8
Cox7c 	CpGs 	3
Cox7c 	heart 	2
Cox7c 	HeLa 	2
Cox7c 	lung 	2
Cox7c 	ovary 	2
Cox7c 	prostat 	2
Cox7c 	skin_leg 	4
Cox7c 	sophogus 	3
Cox7c 	spleen 	2
Cox7c 	stomach 	2
Cox7c 	testis 	3
Cox7c 	tibial_nerv 	2
Nipsnap3b 	CpGs 	15
Nipsnap3b 	heart 	20
Nipsnap3b 	HeLa 	22
Nipsnap3b 	lung 	22
Nipsnap3b 	ovary 	22
Nipsnap3b 	prostat 	22
Nipsnap3b 	skin_leg 	22
Nipsnap3b 	sophogus 	20
Nipsnap3b 	spleen 	22
Nipsnap3b 	stomach 	20
Nipsnap3b 	testis 	22
Nipsnap3b 	tibial_nerv 	22
Asnsd1 	CpGs 	24
Asnsd1 	heart 	48
Asnsd1 	HeLa 	48
Asnsd1 	lung 	48
Asnsd1 	ovary 	48
Asnsd1 	prostat 	49
Asnsd1 	skin_leg 	49
Asnsd1 	sophogus 	47
Asnsd1 	spleen 	48
Asnsd1 	stomach 	48
Asnsd1 	testis 	48
Asnsd1 	tibial_nerv 	49
Psma5 	CpGs 	6
Psma5 	heart 	8
Psma5 	HeLa 	41
Psma5 	lung 	9
Psma5 	ovary 	9
Psma5 	prostat 	9
Psma5 	skin_leg 	9
Psma5 	sophogus 	8
Psma5 	spleen 	8
Psma5 	stomach 	8
Psma5 	testis 	8
Psma5 	tibial_nerv 	10
