ENSG00000000003	gene_1
ENSG00000000005	gene_2
ENSG00000000457	gene_3
ENSG00000000460	gene_4
ENSG00000000938	gene_5
ENSG00000000971	gene_6
ENSG00000001036	gene_7
ENSG00000001167	gene_8
ENSG00000001460	gene_9
ENSG00000001461	gene_10
ENSG00000001497	gene_11
ENSG00000001561	gene_12
ENSG00000001617	gene_13
ENSG00000001626	gene_14
ENSG00000001629	gene_15
ENSG00000001630	gene_16
ENSG00000001631	gene_17
ENSG00000002016	gene_18
ENSG00000002330	gene_19
ENSG00000002549	gene_20
ENSG00000002586	gene_21
ENSG00000002587	gene_22
ENSG00000002726	gene_23
ENSG00000002745	gene_24
ENSG00000002746	gene_25
ENSG00000002822	gene_26
ENSG00000002834	gene_27
ENSG00000002919	gene_28
ENSG00000002933	gene_29
ENSG00000003056	gene_30
ENSG00000003096	gene_31
ENSG00000003137	gene_32
ENSG00000003147	gene_33
ENSG00000003249	gene_34
ENSG00000003393	gene_35
ENSG00000003400	gene_36
ENSG00000003402	gene_37
ENSG00000003436	gene_38
ENSG00000003509	gene_39
ENSG00000003756	gene_40
ENSG00000003987	gene_41
ENSG00000003989	gene_42
ENSG00000004059	gene_43
ENSG00000004139	gene_44
ENSG00000004142	gene_45
ENSG00000004399	gene_46
ENSG00000004455	gene_47
ENSG00000004468	gene_48
ENSG00000004478	gene_49
ENSG00000004487	gene_50
ENSG00000004534	gene_51
ENSG00000004660	gene_52
ENSG00000004700	gene_53
ENSG00000004766	gene_54
ENSG00000004776	gene_55
ENSG00000004777	gene_56
ENSG00000004779	gene_57
ENSG00000004799	gene_58
ENSG00000004809	gene_59
ENSG00000004838	gene_60
ENSG00000004846	gene_61
ENSG00000004848	gene_62
ENSG00000004864	gene_63
ENSG00000004866	gene_64
ENSG00000004897	gene_65
ENSG00000004939	gene_66
ENSG00000004948	gene_67
ENSG00000004961	gene_68
ENSG00000004975	gene_69
ENSG00000005001	gene_70
ENSG00000005007	gene_71
ENSG00000005020	gene_72
ENSG00000005022	gene_73
ENSG00000005059	gene_74
ENSG00000005073	gene_75
ENSG00000005075	gene_76
ENSG00000005100	gene_77
ENSG00000005102	gene_78
ENSG00000005108	gene_79
ENSG00000005156	gene_80
ENSG00000005175	gene_81
ENSG00000005187	gene_82
ENSG00000005189	gene_83
ENSG00000005194	gene_84
ENSG00000005206	gene_85
ENSG00000005238	gene_86
ENSG00000005243	gene_87
ENSG00000005249	gene_88
ENSG00000005302	gene_89
ENSG00000005339	gene_90
ENSG00000005379	gene_91
ENSG00000005381	gene_92
ENSG00000005421	gene_93
ENSG00000005436	gene_94
ENSG00000005448	gene_95
ENSG00000005469	gene_96
ENSG00000005471	gene_97
ENSG00000005483	gene_98
ENSG00000005486	gene_99
ENSG00000005513	gene_100
ENSG00000005700	gene_101
ENSG00000005801	gene_102
ENSG00000005810	gene_103
ENSG00000005812	gene_104
ENSG00000005844	gene_105
ENSG00000005882	gene_106
ENSG00000005884	gene_107
ENSG00000005889	gene_108
ENSG00000005893	gene_109
ENSG00000005961	gene_110
ENSG00000005981	gene_111
ENSG00000006007	gene_112
ENSG00000006015	gene_113
ENSG00000006016	gene_114
ENSG00000006025	gene_115
